original_URI-M,final_original_URI-M,final_original_URI-M_status_code,new_URI-M,final_new_URI-M,final_new_URI-M_status_code, delta, same_final_URI-Rs?, same_final_URI-Ms_status_codes? 
http://www.collectionscanada.gc.ca/webarchives/20060116153003/http://www.berlin.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116163247/http://www.dfait-maeci.gc.ca/canada-europa/germany/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153003/http://www.berlin.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20071115023828/http://www.international.gc.ca/canada-europa/germany/,200,57665141.0 (1 years),No,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153017/http://www.beijing.gc.ca/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153017/http://www.beijing.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116170507/http://www.beijing.gc.ca/,200,5690.0 ( 1 hours),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153006/http://www.abidjan.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116153039/http://www.dfait-maeci.gc.ca/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153006/http://www.abidjan.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181055/http://www.dfait-maeci.gc.ca/abidjan/,200,34569616.0 (1 years),No,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153028/http://www.bangladesh.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116153147/http://www.dfait-maeci.gc.ca/bangladesh/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153028/http://www.bangladesh.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181134/http://www.dfait-maeci.gc.ca/bangladesh/,200,34569587.0 (1 years),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153002/http://www.aboudhabi.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116153112/http://www.dfait-maeci.gc.ca/abudhabi/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153002/http://www.aboudhabi.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181058/http://www.dfait-maeci.gc.ca/abudhabi/,200,34569586.0 (1 years),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153002/http://www.accordscommerciaux.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116153114/http://www.dfait-maeci.gc.ca/tna-nac/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153002/http://www.accordscommerciaux.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181059/http://www.dfait-maeci.gc.ca/tna-nac/,200,34569585.0 (1 years),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153003/http://www.bamako.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116153115/http://www.dfait-maeci.gc.ca/world/embassies/mali/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153003/http://www.bamako.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181053/http://www.dfait-maeci.gc.ca/world/embassies/mali/,200,34569578.0 (1 years),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153028/http://www.bangalore.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116153151/http://www.dfait-maeci.gc.ca/new-delhi/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153028/http://www.bangalore.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181115/http://geo.international.gc.ca/asia/new-delhi/,200,34569564.0 (1 years),No,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153002/http://www.ameriquescanada.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116153232/http://www.dfait-maeci.gc.ca/latin-america/latinamerica/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153002/http://www.ameriquescanada.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181056/http://geo.international.gc.ca/latin-america/latinamerica/,200,34569504.0 (1 years),No,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153028/http://www.algeria.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116153815/http://www.dfait-maeci.gc.ca/world/embassies/algeria/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153028/http://www.algeria.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181102/http://www.dfait-maeci.gc.ca/world/embassies/algeria/,200,34569167.0 (1 years),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153002/http://www.algiers.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116153815/http://www.dfait-maeci.gc.ca/world/embassies/algeria/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153002/http://www.algiers.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181102/http://www.dfait-maeci.gc.ca/world/embassies/algeria/,200,34569167.0 (1 years),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153003/http://www.australia.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116153839/http://www.dfait-maeci.gc.ca/australia/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153003/http://www.australia.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181117/http://geo.international.gc.ca/asia/australia/,200,34569158.0 (1 years),No,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153002/http://www.apec.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116153822/http://www.dfait-maeci.gc.ca/canada-apec/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153002/http://www.apec.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181036/http://www.international.gc.ca/trade/canada-apec/,200,34569134.0 (1 years),No,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153006/http://www.alena.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116154021/http://www.dfait-maeci.gc.ca/trade/nafta-alena/menu-fr.asp,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153006/http://www.alena.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181121/http://www.dfait-maeci.gc.ca/trade/nafta-alena/menu-fr.asp,200,34569060.0 (1 years),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153007/http://www.boisdoeuvre.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116154311/http://www.dfait-maeci.gc.ca/eicb/softwood/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153007/http://www.boisdoeuvre.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181057/http://www.dfait-maeci.gc.ca/eicb/softwood/,200,34568866.0 (1 years),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153007/http://www.byrdamendmentdispute.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116154313/http://www.dfait-maeci.gc.ca/tna-nac/disp/byrd-main-en.asp,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153007/http://www.byrdamendmentdispute.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181058/http://www.dfait-maeci.gc.ca/tna-nac/disp/byrd-main-en.asp,200,34568865.0 (1 years),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153007/http://www.buffalo.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116154406/http://www.dfait-maeci.gc.ca/buffalo/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153007/http://www.buffalo.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181055/http://geo.international.gc.ca/can-am/buffalo/,200,34568809.0 (1 years),No,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153007/http://www.atlanta.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116160439/http://www.dfait-maeci.gc.ca/atlanta/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153007/http://www.atlanta.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181120/http://geo.international.gc.ca/can-am/atlanta/,200,34567601.0 (1 years),No,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153028/http://www.anchorage.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116161622/http://www.dfait-maeci.gc.ca/can-am/anchorage/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153028/http://www.anchorage.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181119/http://geo.international.gc.ca/can-am/anchorage/,200,34566897.0 (1 years),No,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153003/http://www.athens.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116163234/http://www.dfait-maeci.gc.ca/canada-europa/greece/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153003/http://www.athens.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181525/http://geo.international.gc.ca/canada-europa/greece/,200,34566171.0 (1 years),No,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153028/http://www.asie-pacifique.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116163955/http://www.dfait-maeci.gc.ca/asia/main/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153028/http://www.asie-pacifique.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181049/http://geo.international.gc.ca/asia/main/,200,34565454.0 (1 years),No,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153028/http://www.asia-pacific.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116163955/http://www.dfait-maeci.gc.ca/asia/main/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153028/http://www.asia-pacific.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181049/http://geo.international.gc.ca/asia/main/,200,34565454.0 (1 years),No,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153006/http://www.berne.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116170315/http://www.dfait-maeci.gc.ca/canada-europa/switzerland/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153006/http://www.berne.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181527/http://geo.international.gc.ca/canada-europa/switzerland/,200,34564332.0 (1 years),No,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153007/http://www.bucharest.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116174130/http://www.dfait-maeci.gc.ca/canada-europa/romania/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153007/http://www.bucharest.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181536/http://geo.international.gc.ca/canada-europa/romania/,200,34562046.0 (1 years),No,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153458/http://www.archetypes.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116153612/http://www.pwgsc.gc.ca/archetypes/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153458/http://www.archetypes.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20061210150133/http://www.pwgsc.gc.ca/archetypes/,200,28337121.0 (327 days),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153350/http://www.aaw-ssca.gc.ca/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153350/http://www.aaw-ssca.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20061129163950/http://www.aaw-ssca.gc.ca/,200,27392760.0 (317 days),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20060209033032/http://www.digitalpreservation.gov/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060209033032/http://www.digitalpreservation.gov/,http://webarchive.bac-lac.gc.ca:8080/wayback/20061216101214/http://www.digitalpreservation.gov/index.html,200,26808102.0 (310 days),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20060209024005/http://www.copyright.gov/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060209024005/http://www.copyright.gov/,http://webarchive.bac-lac.gc.ca:8080/wayback/20061215193842/http://www.copyright.gov/,200,26758717.0 (309 days),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20060209050922/http://www.imls.gov/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060209050922/http://www.imls.gov/,http://webarchive.bac-lac.gc.ca:8080/wayback/20061215175354/http://www.imls.gov/,200,26743472.0 (309 days),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20060209051254/http://www.loc.gov/,http://www.collectionscanada.gc.ca/webarchives/20060209051254/http://www.loc.gov/index.html,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060209051254/http://www.loc.gov/,http://webarchive.bac-lac.gc.ca:8080/wayback/20061215172705/http://www.loc.gov/index.html,200,26741651.0 (309 days),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20060304001905/http://www.dhs.gov/,http://www.collectionscanada.gc.ca/webarchives/20060304001907/http://www.dhs.gov/dhspublic/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060304001905/http://www.dhs.gov/,http://webarchive.bac-lac.gc.ca:8080/wayback/20140304192946/http://www.dhs.gov/,200,252529839.0 (8 years),No,Yes
http://www.collectionscanada.gc.ca/webarchives/20060222174523/http://www.iom.int/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060222174523/http://www.iom.int/,http://webarchive.bac-lac.gc.ca:8080/wayback/20061209062130/http://www.iom.int/,200,25014967.0 (289 days),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20060222175031/http://www.bpwg.gc.ca/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060222175031/http://www.bpwg.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20061209010753/http://www.bpwg.gc.ca/,200,24995842.0 (289 days),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20060302191529/http://www.businessregistration-inscriptionentreprise.gc.ca/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060302191529/http://www.businessregistration-inscriptionentreprise.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20061209233016/http://www.businessregistration-inscriptionentreprise.gc.ca/,200,24380087.0 (282 days),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20060126155624/http://www.bmsv.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060126155641/http://bullseye.pwgsc.gc.ca/default/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060126155624/http://www.bmsv.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20061025164355/http://bullseye.pwgsc.gc.ca/default/,200,23503634.0 (272 days),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20070220181041/http://www.berlin.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20070220181204/http://www.international.gc.ca/global/errors/404.asp?404%3Bhttp://www.dfait-maeci.gc.ca/canadaeuropa/germany/,404,http://webarchive.bac-lac.gc.ca:8080/wayback/20070220181041/http://www.berlin.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20071115023828/http://www.international.gc.ca/canada-europa/germany/,200,23099184.0 (267 days),No,No
http://www.collectionscanada.gc.ca/webarchives/20060205125105/http://www.article15.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060205131551/http://www.justice.gc.ca/fr/s15/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060205125105/http://www.article15.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20061025163508/http://www.article15.gc.ca/,403,22648757.0 (262 days),No,No
http://www.collectionscanada.gc.ca/webarchives/20060208075019/http://www.cdc.gov/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060208075019/http://www.cdc.gov/,http://webarchive.bac-lac.gc.ca:8080/wayback/20061026060247/http://www.cdc.gov/,200,22457548.0 (259 days),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20060116153352/http://atlas.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20060116153352/http://atlas.gc.ca/site/index.html,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060116153352/http://atlas.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20060130033340/http://atlas.gc.ca/site/index.html,200,1166388.0 (13 days),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20051222163413/http://www.acdi-cida.gc.ca/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20051222163413/http://www.acdi-cida.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20051222163414/http://www.acdi-cida.gc.ca/index.htm,200,1.0 (1 seconds),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20061210150108/http://www.bgc-oro.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20061210150117/http://www.solutions.gc.ca/oro-bgc/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20061210150108/http://www.bgc-oro.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20061210150108/http://bgc-oro.gc.ca/,200,-9.0 (9 seconds),No,Yes
http://www.collectionscanada.gc.ca/webarchives/20071114183415/http://www.barbados.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20071122160659/http://geo.international.gc.ca/latin-america/barbados/menu-en.aspx,400,http://webarchive.bac-lac.gc.ca:8080/wayback/20071114183415/http://www.barbados.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20071116023152/http://geo.international.gc.ca/latin-america/barbados/menu-en.aspx,404,-567307.0 (6 days),Yes,No
http://www.collectionscanada.gc.ca/webarchives/20060214105004/http://www.autochtonesaucanada.gc.ca/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060214105004/http://www.autochtonesaucanada.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20051224020910/http://autochtonesaucanada.gc.ca/,200,-4524054.0 (52 days),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20060205133212/http://www.acoa-apeca.gc.ca/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060205133212/http://www.acoa-apeca.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20051222164534/http://www.acoa-apeca.gc.ca/,200,-3876398.0 (44 days),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20071120133632/http://bmsv.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20071121014240/http://isvp.gc.ca/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20071120133632/http://bmsv.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20061025164355/http://bullseye.pwgsc.gc.ca/default/,200,-33814725.0 (1 years),No,Yes
http://www.collectionscanada.gc.ca/webarchives/20060205132658/http://www.aec-fac.gc.ca/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20060205132658/http://www.aec-fac.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20051228141502/http://www.aec-fac.gc.ca/,200,-3366716.0 (38 days),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20071119194042/http://schools.cbc.ca/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20071119194042/http://schools.cbc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20061029151551/http://schools.cbc.ca/,200,-33366291.0 (1 years),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20071119182551/http://broadband.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20071119183126/http://broadband.gc.ca/index.htm,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20071119182551/http://broadband.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20061110204319/http://www.broadband.gc.ca/index.htm,200,-32305687.0 (1 years),Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20071114183414/http://www.bgc-oro.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20071116030148/http://www.solutions.gc.ca/oro-bgc/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20071114183414/http://www.bgc-oro.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20071114183414/http://bgc-oro.gc.ca/,200,-116854.0 (1 days),No,Yes
http://www.collectionscanada.gc.ca/webarchives/20071116093247/http://ice-glaces.ec.gc.ca/app/wsvpagedsp.cfm?id=1&lang=fre,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20071116093247/http://ice-glaces.ec.gc.ca/app/wsvpagedsp.cfm?id=1&lang=fre,-,200,0,Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20071116044257/http://meteo.gc.ca/canada_f.html,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20071116044257/http://meteo.gc.ca/canada_f.html,-,200,0,Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20071116021959/http://search-recherche.collectionscanada.ca/fed/search.jsp?language=eng,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20071116021959/http://search-recherche.collectionscanada.ca/fed/search.jsp?language=eng,-,200,0,Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20071116014251/http://ccinfoweb.cchst.ca/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20071116014251/http://ccinfoweb.cchst.ca/,-,200,0,Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20071116000529/http://geobase.ca/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20071116000529/http://geobase.ca/,-,200,0,Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20071116000428/http://www.voyage.gc.ca/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20071116000428/http://www.voyage.gc.ca/,-,200,0,Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20071115021116/http://www.cbc.radio-canada.ca/newsreleases/20061019.shtml,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20071115021116/http://www.cbc.radio-canada.ca/newsreleases/20061019.shtml,-,200,0,Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20071115003259/http://www.ec.gc.ca/default.asp?lang=fr&n=ecd35c36,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20071115003259/http://www.ec.gc.ca/default.asp?lang=fr&n=ecd35c36,-,200,0,Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20071114235322/http://www.cbc.ca/archives/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20071114235322/http://www.cbc.ca/archives/,-,200,0,Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20071114184533/http://www.bureaudelatraduction-translationbureau.gc.ca/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20071114184533/http://www.bureaudelatraduction-translationbureau.gc.ca/,-,200,0,Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20071114184046/http://www.cbc.radio-canada.ca/home.asp,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20071114184046/http://www.cbc.radio-canada.ca/home.asp,-,200,0,Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20071114184028/http://www.ccohs.ca/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20071114184028/http://www.ccohs.ca/,-,200,0,Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20071114183942/http://www.avenirh2-pilesacombustibles.gc.ca/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20071114183942/http://www.avenirh2-pilesacombustibles.gc.ca/,-,200,0,Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20071114183451/http://www.asfc-cbsa.gc.ca/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20071114183451/http://www.asfc-cbsa.gc.ca/,-,200,0,Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20071114183446/http://www.bioreseau.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20071114183449/http://www.bioreseau.gc.ca/index_f.asp,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20071114183446/http://www.bioreseau.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20071114183449/http://www.bioreseau.gc.ca/index_f.asp,200,0,Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20071114183441/http://www.armee.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20071116001415/http://www.army.forces.gc.ca/lf/index.asp,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20071114183441/http://www.armee.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20071116001415/http://www.army.forces.gc.ca/lf/index.asp,200,0,Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20071114183441/http://www.archetypes.gc.ca/,http://www.collectionscanada.gc.ca/webarchives/20071115080101/http://www.pwgsc.gc.ca/archetypes/,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20071114183441/http://www.archetypes.gc.ca/,http://webarchive.bac-lac.gc.ca:8080/wayback/20071115080101/http://www.pwgsc.gc.ca/archetypes/,200,0,Yes,Yes
http://www.collectionscanada.gc.ca/webarchives/20071114183440/http://www.bca.gc.ca/,-,200,http://webarchive.bac-lac.gc.ca:8080/wayback/20071114183440/http://www.bca.gc.ca/,-,200,0,Yes,Yes
